NTD ID,Legacy NTD ID,Agency,Mode/Type of Service Status,Reporter Type,UACE CD,UZA Name,Mode,TOS,3 Mode,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,
30027,3027,Central Pennsylvania Transportation Authority,Inactive,Full Reporter,97750,"York, PA",VP,PT,Bus,,,,,,,"8,872 ","10,401 ","5,210 ",,,,,,,,,,,,,,,,,
30030,3030,Washington Metropolitan Area Transit Authority,Active,Full Reporter,92242,"Washington--Arlington, DC--VA--MD",DR,PT,Bus,"873,072 ","1,022,322 ","1,175,513 ","1,332,032 ","1,377,412 ","1,421,378 ","1,652,421 ","2,245,345 ","2,414,464 ","2,049,913 ","1,944,701 ","1,986,902 ","2,079,086 ","2,140,383 ","2,185,068 ","2,234,719 ","2,240,038 ","2,178,068 ","1,100,783 ","1,235,391 ","1,323,888 ","1,425,326 ","1,236,061 ","982,312 ","221,406 ",
30030,3030,Washington Metropolitan Area Transit Authority,Inactive,Full Reporter,92242,"Washington--Arlington, DC--VA--MD",DR,TX,Bus,,,,,,,,,,"105,197 ","105,353 ","116,330 ","114,421 ","107,402 ","137,286 ","138,774 ","136,930 ","146,371 ","32,579 ","1,297 ",,,,,,
30030,3030,Washington Metropolitan Area Transit Authority,Active,Full Reporter,92242,"Washington--Arlington, DC--VA--MD",HR,DO,Rail,"244,548,262 ","246,760,273 ","250,791,210 ","264,607,225 ","272,800,520 ","281,295,157 ","291,492,804 ","293,397,778 ","287,135,451 ","287,615,856 ","279,129,293 ","273,406,081 ","270,514,615 ","260,004,801 ","232,546,318 ","229,855,180 ","228,050,642 ","238,248,071 ","68,610,739 ","56,026,328 ","98,367,576 ","136,436,819 ","159,695,644 ","189,343,819 ","45,166,435 ",
30030,3030,Washington Metropolitan Area Transit Authority,Active,Full Reporter,92242,"Washington--Arlington, DC--VA--MD",MB,DO,Bus,"149,881,041 ","148,606,088 ","141,076,568 ","128,512,182 ","133,268,759 ","131,604,409 ","134,889,079 ","129,365,780 ","120,930,384 ","129,030,844 ","131,819,854 ","134,683,033 ","134,315,403 ","130,913,159 ","124,411,853 ","121,756,048 ","121,108,529 ","122,119,244 ","57,789,668 ","64,860,938 ","89,880,435 ","110,238,572 ","123,598,738 ","118,910,356 ","26,614,177 ",
30030,3030,Washington Metropolitan Area Transit Authority,Inactive,Full Reporter,92242,"Washington--Arlington, DC--VA--MD",MB,PT,Bus,,,,"566,119 ","2,073,938 ","2,404,831 ","2,746,626 ","3,999,775 ","4,896,901 ","5,788,488 ","5,735,437 ","5,606,042 ","3,915,665 ",,,,"4,909 ","2,157,601 ","1,114,853 ","1,277,527 ",,,,,,
30034,3034,Maryland Transit Administration,Active,Full Reporter,04843,"Baltimore, MD",CB,PT,Bus,,,,,,,,,,,"4,252,317 ","4,168,865 ","4,050,757 ","3,944,014 ","3,889,923 ","3,839,623 ","3,757,805 ","3,589,172 ","1,040,033 ","569,827 ","1,021,115 ","1,244,541 ","1,275,600 ","1,609,584 ","361,986 ",
30034,3034,Maryland Transit Administration,Active,Full Reporter,04843,"Baltimore, MD",CR,PT,Rail,"5,839,755 ","5,955,030 ","6,409,984 ","6,752,000 ","6,748,900 ","7,657,674 ","8,068,751 ","8,090,250 ","8,106,033 ","8,285,811 ","8,800,863 ","9,165,103 ","9,381,010 ","9,143,332 ","8,983,610 ","9,174,765 ","9,387,801 ","9,187,058 ","2,492,652 ","1,453,713 ","2,816,561 ","3,681,266 ","4,086,632 ","5,255,115 ","1,213,764 ",
30034,3034,Maryland Transit Administration,Active,Full Reporter,04843,"Baltimore, MD",DR,DO,Bus,"93,618 ","88,436 ","100,882 ","102,405 ","112,386 ","141,619 ","143,588 ","143,063 ","132,585 ","121,489 ","100,568 ","91,375 ","19,826 ",,,"12,645 ","15,959 ","14,902 ","11,002 ","11,807 ","16,185 ","12,954 ","13,436 ","13,890 ","3,921 ",
30034,3034,Maryland Transit Administration,Active,Full Reporter,04843,"Baltimore, MD",DR,PT,Bus,"589,948 ","530,669 ","555,262 ","510,918 ","499,026 ","1,007,963 ","1,174,316 ","1,265,834 ","1,121,583 ","1,271,421 ","1,527,273 ","1,629,451 ","1,841,710 ","1,935,911 ","1,996,479 ","2,088,605 ","2,156,859 ","2,125,339 ","1,093,800 ","1,146,892 ","1,600,964 ","2,025,320 ","2,120,035 ","1,924,769 ","516,345 ",
