NTD ID,Legacy NTD ID,Agency,Mode,TOS,3 Mode,Mode/Type of Service Status,Reporter Type,Organization Type,HQ City,HQ State,UACE CD,UZA Name,UZA SQ Miles,UZA Population,Service Area Population,Service Area SQ Miles,Last Closed Report Year,Last Closed FY End Month,Last Closed FY End Year,Passenger Miles FY,Unlinked Passenger Trips FY,Avg Trip Length FY,Fares FY,Operating Expenses FY,Avg Cost Per Trip FY,Avg Fares Per Trip FY
70005,7005,Kansas City Area Transportation Authority,DR,TX,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,KANSAS CITY,MO,43912,"Kansas City, MO--KS",714.1," 	1,674,218 "," 	621,956 ", 	459 ,2024,12,2024,"1,740,184 ","191,041 ",9 ,"$121,234 ","$10,511,846 ",$55.02 ,$0.63 
70005,7005,Kansas City Area Transportation Authority,MB,DO,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,KANSAS CITY,MO,43912,"Kansas City, MO--KS",714.1," 	1,674,218 "," 	621,956 ", 	459 ,2024,12,2024,"38,031,008 ","10,967,160 ",3 ,$0 ,"$91,139,373 ",$8.31 ,$0.00 
70005,7005,Kansas City Area Transportation Authority,RB,DO,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,KANSAS CITY,MO,43912,"Kansas City, MO--KS",714.1," 	1,674,218 "," 	621,956 ", 	459 ,2024,12,2024,"2,691,060 ","953,101 ",3 ,$0 ,"$6,111,231 ",$6.41 ,$0.00 
70005,7005,Kansas City Area Transportation Authority,VP,DO,Bus,Inactive,Full Reporter,Independent Public Agency or Authority of Transit Service,KANSAS CITY,MO,43912,"Kansas City, MO--KS",714.1," 	1,674,218 "," 	621,956 ", 	459 ,2017,12,2017,"74,256 ","1,737 ",43 ,"$12,473 ","$23,354 ",$13.45 ,$7.18 
70005,7005,Kansas City Area Transportation Authority,VP,PT,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,KANSAS CITY,MO,43912,"Kansas City, MO--KS",714.1," 	1,674,218 "," 	621,956 ", 	459 ,2024,12,2024,"2,011,727 ","58,320 ",34 ,"$431,414 ","$930,177 ",$15.95 ,$7.40 
70006,7006,Bi-State Development Agency of the Missouri-Illinois Metropolitan District,DR,DO,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,SAINT LOUIS,MO,77770,"St. Louis, MO--IL",910.37," 	2,156,323 "," 	1,563,103 ", 	558 ,2024,6,2024,"3,503,658 ","306,660 ",11 ,"$580,663 ","$25,521,845 ",$83.23 ,$1.89 
70006,7006,Bi-State Development Agency of the Missouri-Illinois Metropolitan District,DR,PT,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,SAINT LOUIS,MO,77770,"St. Louis, MO--IL",910.37," 	2,156,323 "," 	1,563,103 ", 	558 ,2024,6,2024,"1,778,498 ","303,842 ",6 ,"$267,304 ","$5,115,597 ",$16.84 ,$0.88 
70006,7006,Bi-State Development Agency of the Missouri-Illinois Metropolitan District,LR,DO,Rail,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,SAINT LOUIS,MO,77770,"St. Louis, MO--IL",910.37," 	2,156,323 "," 	1,563,103 ", 	558 ,2024,6,2024,"41,442,659 ","6,752,816 ",6 ,"$6,673,389 ","$100,868,778 ",$14.94 ,$0.99 
70006,7006,Bi-State Development Agency of the Missouri-Illinois Metropolitan District,MB,DO,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,SAINT LOUIS,MO,77770,"St. Louis, MO--IL",910.37," 	2,156,323 "," 	1,563,103 ", 	558 ,2024,6,2024,"76,719,531 ","12,728,183 ",6 ,"$12,205,211 ","$160,935,053 ",$12.64 ,$0.96 
70007,7007,City of Bettendorf,DR,PT,Bus,Inactive,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",BETTENDORF,IA,22366,"Davenport, IA--IL",134.86," 	285,211 "," 	39,107 ", 	22 ,2021,6,2021,,,,,,,
70007,7007,City of Bettendorf,MB,DO,Bus,Active,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",BETTENDORF,IA,22366,"Davenport, IA--IL",134.86," 	285,211 "," 	39,107 ", 	22 ,2024,6,2024,,,,,,,
70007,7007,City of Bettendorf,MB,PT,Bus,Inactive,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",BETTENDORF,IA,22366,"Davenport, IA--IL",134.86," 	285,211 "," 	39,107 ", 	22 ,2021,6,2021,,,,,,,
70008,7008,City of Cedar Rapids,DR,PT,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",CEDAR RAPIDS,IA,14752,"Cedar Rapids, IA",86.03," 	192,844 "," 	187,793 ", 	80 ,2024,6,2024,"98,904 ","14,582 ",7 ,"$130,122 ","$766,011 ",$52.53 ,$8.92 
70008,7008,City of Cedar Rapids,MB,DO,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",CEDAR RAPIDS,IA,14752,"Cedar Rapids, IA",86.03," 	192,844 "," 	187,793 ", 	80 ,2024,6,2024,"5,434,782 ","1,123,065 ",5 ,"$302,427 ","$9,082,767 ",$8.09 ,$0.27 
70009,7009,City of Davenport,DR,PT,Bus,Inactive,Full Reporter,"City, County or Local Government Unit or Department of Transportation",DAVENPORT,IA,22366,"Davenport, IA--IL",134.86," 	285,211 "," 	101,724 ", 	26 ,2012,6,2012,,,,,,,
70009,7009,City of Davenport,MB,DO,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",DAVENPORT,IA,22366,"Davenport, IA--IL",134.86," 	285,211 "," 	101,724 ", 	26 ,2024,6,2024,,,,,,,
70009,7009,City of Davenport,MB,PT,Bus,Inactive,Full Reporter,"City, County or Local Government Unit or Department of Transportation",DAVENPORT,IA,22366,"Davenport, IA--IL",134.86," 	285,211 "," 	101,724 ", 	26 ,2012,6,2012,,,,,,,
70010,7010,Des Moines Area Regional Transit Authority,DR,DO,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,DES MOINES,IA,23743,"Des Moines, IA",224.74," 	542,486 "," 	534,049 ", 	616 ,2024,6,2024,"804,864 ","111,108 ",7 ,"$723,535 ","$6,150,457 ",$55.36 ,$6.51 
70010,7010,Des Moines Area Regional Transit Authority,DR,PT,Bus,Inactive,Full Reporter,Independent Public Agency or Authority of Transit Service,DES MOINES,IA,23743,"Des Moines, IA",224.74," 	542,486 "," 	534,049 ", 	616 ,2010,6,2010,"79,329 ","10,808 ",7 ,"$222,922 ","$273,598 ",$25.31 ,$20.63 
